player_id,player_name,age,nationality,team,jersey_number,position,height_cm,weight_kg,preferred_foot,club_name,market_value_eur,match_id,match_date,stadium,city,opponent_team,tournament_stage,match_result,goals_team,goals_opponent,minutes_played,goals,assists,shots,shots_on_target,expected_goals_xg,expected_assists_xa,key_passes,successful_passes,total_passes,pass_accuracy,dribbles_attempted,successful_dribbles,crosses,successful_crosses,tackles,interceptions,clearances,blocks,aerial_duels_won,aerial_duels_lost,recoveries,defensive_actions,fouls_committed,fouls_suffered,yellow_cards,red_cards,offsides,saves,save_percentage,punches,clean_sheet,goals_conceded,penalty_saves,distance_covered_km,sprint_distance_km,top_speed_kmh,accelerations,decelerations,stamina_score,player_rating,performance_score,offensive_contribution,defensive_contribution,possession_impact,pressure_resistance,creativity_score,consistency_score,clutch_performance_score,total_goals_tournament,total_assists_tournament,total_minutes_tournament,player_of_match_awards,tournament_rating
P00012,Hassan Kadhim,23,Iraq,Iraq,12,DM,181,69,Right,Iraq City,48400000,WC26-001,2026-06-11,Liberty Stadium,New York City,Costa Rica,Group Stage,Loss,2,4,0,0,0,0,0,0.0,0.01,0,0,0,90.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2.54,0.66,0.0,0,0,85.4,5.8,56.1,65.5,74.7,52.9,86.0,56.2,74.9,75.5,0,0,72,0,5.8
P00013,Hussein Jaber,32,Iraq,Iraq,13,DM,183,84,Right,Iraq Athletic,45500000,WC26-001,2026-06-11,Liberty Stadium,New York City,Costa Rica,Group Stage,Loss,2,4,0,0,0,0,0,0.0,0.09,0,0,0,85.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,80.8,6.0,53.8,61.8,71.0,66.6,75.5,59.8,78.4,58.1,0,0,123,0,5.8
P00014,Omar Salim,18,Iraq,Iraq,14,DM,172,73,Right,Iraq United,60100000,WC26-001,2026-06-11,Liberty Stadium,New York City,Costa Rica,Group Stage,Loss,2,4,70,0,1,0,0,0.0,0.76,0,40,55,73.4,2,2,0,0,1,0,0,3,0,0,2,4,1,0,0,0,0,0,0.0,0,0,0,0,8.6,2.02,29.4,9,0,91.6,6.5,66.7,74.4,67.9,66.1,70.6,63.2,66.1,56.6,0,1,120,0,6.0
P00015,Omar Jaber,27,Iraq,Iraq,15,CM,187,66,Right,Iraq FC,45400000,WC26-001,2026-06-11,Liberty Stadium,New York City,Costa Rica,Group Stage,Loss,2,4,40,0,0,0,0,0.0,0.1,0,24,28,85.8,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0.0,0,0,0,0,6.7,1.71,28.8,4,8,90.0,6.4,61.2,59.5,50.4,54.8,67.1,61.0,70.3,42.3,0,0,162,0,6.3
P00016,Ali Salim,25,Iraq,Iraq,16,CM,193,64,Left,Iraq Rovers,47600000,WC26-001,2026-06-11,Liberty Stadium,New York City,Costa Rica,Group Stage,Loss,2,4,8,0,0,0,0,0.0,0.04,0,2,3,97.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,5.4,1.88,32.7,1,0,81.7,5.5,54.0,40.9,39.3,44.8,79.8,63.3,71.4,59.9,0,0,191,0,5.9
P00017,Ali Saeed,22,Iraq,Iraq,17,CM,181,73,Right,Iraq Sporting,36100000,WC26-001,2026-06-11,Liberty Stadium,New York City,Costa Rica,Group Stage,Loss,2,4,0,0,0,0,0,0.0,0.12,0,0,0,73.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.82,0.0,0,0,75.1,5.4,54.9,35.9,68.4,49.3,80.7,70.4,66.8,48.0,0,0,104,0,5.7
P00018,Omar Kadhim,29,Iraq,Iraq,18,CM,190,79,Right,Iraq United,23100000,WC26-001,2026-06-11,Liberty Stadium,New York City,Costa Rica,Group Stage,Loss,2,4,63,0,0,1,0,0.07,0.08,0,40,46,87.2,0,0,0,0,1,0,0,0,0,0,2,1,0,1,0,0,0,0,0.0,0,0,0,0,6.69,1.43,31.0,6,4,95.2,5.6,54.9,34.6,60.1,39.8,78.0,39.5,64.7,74.1,0,0,143,0,5.9
P00019,Karim Abbas,21,Iraq,Iraq,19,AM,175,79,Left,Iraq Athletic,52100000,WC26-001,2026-06-11,Liberty Stadium,New York City,Costa Rica,Group Stage,Loss,2,4,18,0,0,0,0,0.0,0.0,0,6,9,68.5,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,0,7.28,1.35,32.5,3,2,84.8,6.1,63.3,47.0,64.6,64.3,69.0,81.6,77.8,76.1,0,0,98,0,5.9
P00020,Yusuf Mahdi,28,Iraq,Iraq,20,AM,183,76,Right,Iraq Athletic,16000000,WC26-001,2026-06-11,Liberty Stadium,New York City,Costa Rica,Group Stage,Loss,2,4,32,0,0,0,0,0.0,0.02,0,11,14,79.0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0.0,0,0,0,0,4.38,1.62,32.3,6,3,86.4,5.9,64.1,45.7,47.6,42.2,74.8,46.8,72.9,68.6,0,0,72,0,6.2
P00021,Ali Jaber,19,Iraq,Iraq,21,LW,168,73,Right,Iraq Sporting,5700000,WC26-001,2026-06-11,Liberty Stadium,New York City,Costa Rica,Group Stage,Loss,2,4,0,0,0,0,0,0.0,0.09,0,0,0,75.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1.54,0.68,0.0,0,0,87.0,5.9,59.6,52.1,55.4,52.0,52.6,55.5,81.9,31.1,0,0,153,0,5.8
P00022,Hassan Jaber,31,Iraq,Iraq,22,LW,169,78,Right,Iraq Athletic,45900000,WC26-001,2026-06-11,Liberty Stadium,New York City,Costa Rica,Group Stage,Loss,2,4,8,0,0,0,0,0.0,0.13,0,2,3,76.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,8.08,1.09,30.8,1,0,86.9,5.8,54.0,73.6,36.9,56.3,80.6,59.6,61.9,33.2,0,0,106,0,5.9
P00023,Hussein Kadhim,26,Iraq,Iraq,23,RW,175,73,Right,Iraq United,13100000,WC26-001,2026-06-11,Liberty Stadium,New York City,Costa Rica,Group Stage,Loss,2,4,72,0,0,0,0,0.0,0.05,4,36,51,72.4,2,2,0,0,0,2,0,0,2,0,3,2,0,0,1,0,0,0,0.0,0,0,0,0,6.88,1.64,28.1,10,11,73.3,5.1,46.8,58.0,42.1,55.4,81.0,88.3,83.2,59.4,0,0,159,0,5.4
P00024,Yusuf Kazem,27,Iraq,Iraq,24,RW,184,74,Right,Iraq Sporting,21100000,WC26-001,2026-06-11,Liberty Stadium,New York City,Costa Rica,Group Stage,Loss,2,4,100,0,0,1,0,0.11,0.08,2,43,62,69.6,3,3,0,0,0,1,0,0,1,0,2,1,0,1,0,0,1,0,0.0,0,0,0,0,7.21,2.09,29.3,4,13,91.8,4.7,44.5,44.8,55.5,61.1,89.6,96.8,71.5,28.4,0,0,193,0,5.3
P00025,Ali Abbas,32,Iraq,Iraq,25,ST,177,75,Left,Iraq United,34600000,WC26-001,2026-06-11,Liberty Stadium,New York City,Costa Rica,Group Stage,Loss,2,4,82,0,0,0,0,0.0,0.0,0,27,41,66.7,1,1,0,0,1,0,0,0,2,0,1,1,0,1,0,0,0,0,0.0,0,0,0,0,5.47,2.17,31.6,9,7,82.6,5.8,57.1,54.9,58.5,59.6,59.8,42.4,73.6,67.1,0,0,212,0,5.8
P00026,Mohammed Kazem,22,Iraq,Iraq,26,ST,183,87,Right,Iraq FC,35000000,WC26-001,2026-06-11,Liberty Stadium,New York City,Costa Rica,Group Stage,Loss,2,4,0,0,0,0,0,0.0,0.1,0,0,0,78.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.64,0.0,0,0,92.0,6.2,64.9,67.0,40.7,58.2,69.5,51.1,73.9,53.1,0,0,95,0,6.1
P00027,Carlos Vargas,22,Costa Rica,Costa Rica,1,GK,192,79,Left,Costa Rica Rovers,18200000,WC26-001,2026-06-11,Liberty Stadium,New York City,Iraq,Group Stage,Win,4,2,94,0,0,0,0,0.0,0.11,0,42,53,79.6,0,0,1,0,0,2,1,0,0,0,3,3,1,0,0,0,0,3,100.0,0,0,2,0,6.6,1.2,29.4,17,17,79.3,5.4,51.2,40.3,53.8,67.0,72.7,66.1,74.9,60.4,0,0,338,0,6.2
P00028,Luis Solano,29,Costa Rica,Costa Rica,2,GK,188,66,Right,Costa Rica Athletic,6100000,WC26-001,2026-06-11,Liberty Stadium,New York City,Iraq,Group Stage,Win,4,2,94,0,0,1,0,0.17,0.06,0,38,49,78.1,0,0,0,0,0,2,0,0,1,0,2,2,1,0,0,1,0,4,100.0,0,0,2,1,6.5,2.19,33.0,11,7,88.0,7.0,67.8,55.0,79.8,55.7,77.3,41.0,68.3,88.7,0,0,134,0,6.1
P00029,Carlos Castro,33,Costa Rica,Costa Rica,3,GK,177,75,Left,Costa Rica United,48700000,WC26-001,2026-06-11,Liberty Stadium,New York City,Iraq,Group Stage,Win,4,2,60,0,0,1,0,0.06,0.03,0,14,24,61.3,0,0,0,0,0,0,1,2,0,0,1,3,0,2,0,0,0,4,100.0,1,0,2,0,6.11,1.62,28.0,13,7,93.4,7.0,67.4,56.5,41.4,35.9,70.6,71.5,75.1,72.5,0,0,270,0,7.0
P00030,Marco Solano,24,Costa Rica,Costa Rica,4,CB,182,63,Right,Costa Rica Sporting,44400000,WC26-001,2026-06-11,Liberty Stadium,New York City,Iraq,Group Stage,Win,4,2,12,0,0,0,0,0.0,0.14,1,7,9,86.9,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0.0,0,0,0,0,7.58,1.7,34.2,1,2,80.3,6.4,58.6,56.0,53.6,55.8,51.3,74.3,78.8,62.3,0,0,171,0,6.2
P00031,Jose Vargas,26,Costa Rica,Costa Rica,5,CB,193,71,Right,Costa Rica FC,57500000,WC26-001,2026-06-11,Liberty Stadium,New York City,Iraq,Group Stage,Win,4,2,32,0,0,0,0,0.0,0.08,0,17,21,81.4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,6.06,0.96,31.0,2,3,75.5,6.1,61.9,61.0,41.4,60.2,88.6,60.7,71.0,78.1,0,1,195,0,6.2
P00032,Daniel Solano,28,Costa Rica,Costa Rica,6,CB,168,64,Right,Costa Rica City,13900000,WC26-001,2026-06-11,Liberty Stadium,New York City,Iraq,Group Stage,Win,4,2,0,0,0,1,1,0.17,0.09,0,0,0,81.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2.33,0.0,0.0,0,0,84.7,5.5,62.3,77.7,76.3,54.4,78.3,57.3,58.3,69.3,0,0,118,0,6.3
P00033,Carlos Jimenez,22,Costa Rica,Costa Rica,7,CB,168,69,Left,Costa Rica Athletic,25600000,WC26-001,2026-06-11,Liberty Stadium,New York City,Iraq,Group Stage,Win,4,2,79,0,0,0,0,0.0,0.15,0,36,42,86.3,1,1,0,0,1,1,1,1,0,0,4,4,0,1,0,0,0,0,0.0,0,0,0,0,6.88,1.22,29.6,13,6,83.1,6.4,66.3,39.5,58.2,73.4,59.2,59.5,76.6,36.6,0,0,334,0,6.1
P00034,Daniel Vargas,22,Costa Rica,Costa Rica,8,LB,184,63,Right,Costa Rica Athletic,37000000,WC26-001,2026-06-11,Liberty Stadium,New York City,Iraq,Group Stage,Win,4,2,91,0,0,0,0,0.0,0.08,1,41,55,76.2,0,0,0,0,2,0,1,2,0,0,3,5,0,2,0,0,0,0,0.0,0,0,0,0,4.7,1.56,33.6,18,13,78.1,6.6,63.1,45.0,85.6,81.8,71.4,58.2,82.6,60.7,0,0,262,0,6.2
P00035,Javier Gomez,26,Costa Rica,Costa Rica,9,LB,192,67,Right,Costa Rica FC,3900000,WC26-001,2026-06-11,Liberty Stadium,New York City,Iraq,Group Stage,Win,4,2,93,0,0,0,0,0.0,0.06,0,30,40,75.5,0,0,0,0,1,0,0,0,1,1,2,1,1,0,0,0,0,0,0.0,0,0,0,0,6.71,1.06,32.3,16,8,75.6,6.6,65.1,40.1,52.4,52.0,69.9,39.4,67.5,61.3,0,0,212,0,6.2
P00036,Santiago Castro,23,Costa Rica,Costa Rica,10,RB,193,77,Right,Costa Rica City,32600000,WC26-001,2026-06-11,Liberty Stadium,New York City,Iraq,Group Stage,Win,4,2,32,0,0,1,0,0.05,0.15,0,13,17,78.1,0,0,0,0,0,0,1,1,0,0,3,2,1,0,0,0,0,0,0.0,0,0,0,0,6.43,1.39,28.0,3,4,73.9,6.2,65.0,72.4,52.8,47.9,75.7,48.3,87.0,57.2,0,0,165,0,6.2
P00037,Javier Vargas,19,Costa Rica,Costa Rica,11,RB,185,84,Right,Costa Rica FC,16200000,WC26-001,2026-06-11,Liberty Stadium,New York City,Iraq,Group Stage,Win,4,2,12,0,0,0,0,0.0,0.05,0,5,7,80.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,4.56,1.61,29.0,0,2,79.7,5.4,53.6,63.4,55.8,50.8,59.0,47.8,78.6,81.9,0,0,172,0,5.6
P00038,Andres Solano,24,Costa Rica,Costa Rica,12,DM,193,88,Right,Costa Rica Sporting,55500000,WC26-001,2026-06-11,Liberty Stadium,New York City,Iraq,Group Stage,Win,4,2,12,0,0,0,0,0.0,0.13,0,5,7,76.5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,0,4.55,1.79,30.1,1,4,71.5,6.0,58.7,81.6,58.3,51.3,67.4,45.6,78.9,44.0,0,0,67,0,5.7
P00039,Marco Hernandez,23,Costa Rica,Costa Rica,13,DM,196,72,Right,Costa Rica City,27500000,WC26-001,2026-06-11,Liberty Stadium,New York City,Iraq,Group Stage,Win,4,2,18,0,0,0,0,0.0,0.1,0,10,11,95.3,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0.0,0,0,0,0,7.67,1.55,28.9,3,2,95.2,5.9,55.6,47.2,74.0,72.2,74.0,71.0,83.2,65.6,0,0,162,0,6.1
P00040,Diego Jimenez,27,Costa Rica,Costa Rica,14,DM,179,67,Right,Costa Rica Sporting,14900000,WC26-001,2026-06-11,Liberty Stadium,New York City,Iraq,Group Stage,Win,4,2,87,0,0,0,0,0.0,0.05,0,49,57,86.1,1,1,1,0,2,1,0,1,0,1,3,4,1,2,0,0,0,0,0.0,0,0,0,0,7.87,2.36,30.5,6,7,76.0,6.7,65.4,50.2,60.1,65.4,88.2,46.0,74.3,57.0,0,0,253,0,6.4
P00041,Luis Castro,31,Costa Rica,Costa Rica,15,CM,177,76,Right,Costa Rica United,35000000,WC26-001,2026-06-11,Liberty Stadium,New York City,Iraq,Group Stage,Win,4,2,0,0,0,0,0,0.0,0.14,0,0,0,93.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,77.2,5.6,56.3,76.3,51.8,43.5,55.2,72.1,88.2,46.3,0,0,38,0,5.8
P00042,Javier Castro,32,Costa Rica,Costa Rica,16,CM,196,66,Right,Costa Rica FC,32400000,WC26-001,2026-06-11,Liberty Stadium,New York City,Iraq,Group Stage,Win,4,2,32,0,0,0,0,0.0,0.11,0,9,12,75.9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0,6.13,1.63,26.9,1,6,89.0,6.1,64.1,37.6,43.7,61.9,64.6,68.5,86.6,58.8,0,0,190,0,5.8
P00043,Marco Vargas,26,Costa Rica,Costa Rica,17,CM,194,76,Right,Costa Rica FC,45200000,WC26-001,2026-06-11,Liberty Stadium,New York City,Iraq,Group Stage,Win,4,2,76,0,0,0,0,0.0,0.06,0,31,41,76.1,2,1,1,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0.0,0,0,0,0,8.65,1.54,30.5,11,4,86.8,6.2,60.7,51.0,51.5,59.7,63.1,56.5,76.0,74.3,0,0,185,0,6.0
P00044,Luis Rojas,22,Costa Rica,Costa Rica,18,CM,168,80,Right,Costa Rica Sporting,47700000,WC26-001,2026-06-11,Liberty Stadium,New York City,Iraq,Group Stage,Win,4,2,32,0,0,0,0,0.0,0.13,1,20,26,78.4,0,0,0,0,0,1,0,0,1,0,1,1,0,2,0,0,0,0,0.0,0,0,0,0,6.52,1.44,35.5,1,4,65.8,6.5,68.0,70.9,49.0,38.9,73.8,48.1,80.3,56.4,0,0,177,0,5.9
P00045,Daniel Rodriguez,33,Costa Rica,Costa Rica,19,AM,192,88,Right,Costa Rica FC,44800000,WC26-001,2026-06-11,Liberty Stadium,New York City,Iraq,Group Stage,Win,4,2,8,0,0,0,0,0.0,0.14,0,3,5,79.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,7.64,1.09,33.3,0,0,89.6,6.5,66.2,55.7,18.5,46.4,70.5,77.7,74.3,72.8,0,0,140,0,6.0
P00046,Andres Hernandez,31,Costa Rica,Costa Rica,20,AM,175,72,Right,Costa Rica City,60400000,WC26-001,2026-06-11,Liberty Stadium,New York City,Iraq,Group Stage,Win,4,2,0,0,0,0,0,0.0,0.03,0,0,0,86.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.55,0.19,0.0,0,0,96.3,6.7,68.4,44.4,46.7,53.2,73.3,37.9,85.3,53.3,0,0,96,0,6.3
P00047,Diego Vargas,29,Costa Rica,Costa Rica,21,LW,196,78,Right,Costa Rica City,900000,WC26-001,2026-06-11,Liberty Stadium,New York City,Iraq,Group Stage,Win,4,2,32,0,0,0,0,0.0,0.07,0,16,19,88.0,1,1,1,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0.0,0,0,0,0,7.01,1.27,31.2,3,1,91.6,6.8,69.1,66.8,52.9,56.0,82.7,24.5,80.4,46.6,0,0,154,0,6.2
P00048,Jose Rojas,22,Costa Rica,Costa Rica,22,LW,180,85,Right,Costa Rica FC,2900000,WC26-001,2026-06-11,Liberty Stadium,New York City,Iraq,Group Stage,Win,4,2,84,0,0,0,0,0.0,0.14,0,54,65,83.7,0,0,1,0,1,2,0,0,0,0,5,3,2,0,0,0,0,0,0.0,0,0,0,0,5.64,1.68,30.8,4,13,79.0,6.9,71.3,63.7,70.6,72.8,79.6,65.1,70.8,59.8,0,0,177,0,6.1
P00049,Andres Rojas,29,Costa Rica,Costa Rica,23,RW,186,74,Right,Costa Rica Rovers,2500000,WC26-001,2026-06-11,Liberty Stadium,New York City,Iraq,Group Stage,Win,4,2,0,0,0,0,0,0.0,0.1,0,0,0,83.2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.82,0.0,0,0,90.0,6.5,62.6,53.1,72.5,53.3,47.8,61.8,66.0,46.2,0,0,18,0,6.0
P00050,Luis Rodriguez,26,Costa Rica,Costa Rica,24,RW,180,78,Left,Costa Rica Athletic,4100000,WC26-001,2026-06-11,Liberty Stadium,New York City,Iraq,Group Stage,Win,4,2,97,0,0,2,2,0.24,0.07,0,49,67,73.5,2,2,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0.0,0,0,0,0,6.56,1.44,30.4,17,12,88.4,6.2,62.0,34.5,48.6,59.0,55.9,47.4,77.8,67.2,0,0,145,0,6.0
P00051,Andres Mora,30,Costa Rica,Costa Rica,25,ST,182,85,Right,Costa Rica Rovers,61100000,WC26-001,2026-06-11,Liberty Stadium,New York City,Iraq,Group Stage,Win,4,2,77,0,0,1,0,0.07,0.01,0,38,50,76.3,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0.0,0,0,0,0,8.04,1.28,30.2,14,7,83.6,5.7,60.6,58.9,46.9,61.7,75.8,63.2,90.0,50.6,0,0,222,0,6.1
P00052,Mateo Gomez,30,Costa Rica,Costa Rica,26,ST,196,68,Right,Costa Rica Athletic,60000000,WC26-001,2026-06-11,Liberty Stadium,New York City,Iraq,Group Stage,Win,4,2,40,0,0,0,0,0.0,0.09,1,22,27,84.6,0,0,1,1,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0.0,0,0,0,0,7.23,1.38,29.0,5,6,73.8,6.3,62.3,40.2,50.7,50.9,70.6,86.1,81.5,53.7,0,0,283,0,6.1
P00001,Omar Kazem,29,Iraq,Iraq,1,GK,192,68,Right,Iraq FC,24000000,WC26-002,2026-06-11,Pacific Arena,Los Angeles,Switzerland,Group Stage,Loss,0,3,0,0,0,0,0,0.0,0.06,0,0,0,80.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,100.0,0,0,3,0,2.13,0.48,0.0,0,0,79.2,6.3,68.7,59.9,51.4,51.9,74.9,46.5,75.0,64.5,0,0,164,0,6.2
P00002,Yusuf Salim,20,Iraq,Iraq,2,GK,171,77,Left,Iraq United,23900000,WC26-002,2026-06-11,Pacific Arena,Los Angeles,Switzerland,Group Stage,Loss,0,3,98,0,0,0,0,0.0,0.11,0,24,34,72.9,0,0,0,0,2,0,0,0,2,0,3,2,1,1,0,0,0,4,100.0,0,0,3,0,3.75,1.04,32.3,9,10,76.4,6.0,62.2,47.6,68.4,63.1,46.4,62.3,76.8,35.0,0,0,171,0,5.9
